t;G1;G2;G3;COI
0.84;261.0421398444695;252.65700637910535;252.99133388162608;258.68517221583147
0.85;266.07310293118144;250.56766914946124;252.1863253158163;261.80581165053826
0.86;271.01646584646574;248.52945762911864;251.48291180627194;264.8829454152402
0.87;275.8654677653983;246.56699408619482;250.91105118995011;267.9192340153529
0.88;280.61444207526534;244.70409353603927;250.4970549782842;270.91763221708203
0.89;285.25878648414255;242.96354958157747;250.26329706438983;273.88129966629475
0.9;289.7949054954798;241.36696152530914;250.22810547721767;276.81351640428284
0.91;294.2201284815749;239.93461988253463;250.4058168588067;279.71760705893075
0.92;298.53261167715436;238.68544580973742;250.8069663046758;282.5968763027934
0.93;302.7312305148757;237.63696731787473;251.43857995672752;285.45455388429076
0.94;306.81546808962565;236.80532174065166;252.30453695812983;288.29374829116165
0.95;310.78530486501717;236.20527848963155;253.40597022208175;291.1174087658431
0.96;314.64111361192363;235.85027636998478;254.74167963112725;293.9282950149311
0.97;318.3835624902099;235.75247019789037;256.30853624463055;296.7289537256097
0.98;322.0135282255486;235.92278204704803;258.10186123951195;299.52170089815456
0.99;325.5320205323393;236.37095307034124;260.11576821194757;302.3086089970544
1.0;328.940118303484;237.10559243351855;262.34346185585815;305.091497986536
1.01;332.2389176218431;238.13422042677124;264.7774897686839;307.8719294255808
1.02;335.4294913288269;239.46330327560273;267.40994717296826;310.65120293397763
1.03;338.51285968878193;241.09827756089223;270.232636703471;313.43035449046795
1.04;341.4899715870244;243.04356249978028;273.23718715049625;316.210156176667
1.05;344.3616956680701;245.3025586629643;276.4151362476502;318.9911171298511
1.06;347.128820834063;247.87763204339606;279.75798333282967;321.77348561049325
1.07;349.7920655589959;250.77008278098418;283.25721807930154;324.55725222486114
1.08;352.3520955114661;253.9800983227446;286.9043315593586;327.34215446748243
1.09;354.80954899906834;257.5066913905341;290.69081571721875;330.12768286070275
1.1;357.16506973547564;261.3476238648201;294.60815692559686;332.9130890658862
1.11;359.41934637363903;265.49931858691986;298.64782870623594;335.6973964186047
1.12;361.57315813441835;269.95676213115325;302.8012879263243;338.47941339168733
1.13;363.6274256807043;274.7134027792607;307.05997784213474;341.25775050480917
1.14;365.5832661119153;279.76104926038204;311.415339881342;344.03084112541495
1.15;367.44205049658757;285.08977743685074;315.8588326445109;346.7969662812452
1.16;369.20546208900544;290.6878529690255;320.3819556328877;349.5542834868637
1.17;370.8755535139578;296.54167746103974;324.9762803160247;352.30086004755987
1.18;372.45480091735686;302.63576581648545;329.63349150303236;355.03471117506666
1.19;373.9461523972277;308.9527633609808;334.3454358434296;357.75384236216235
1.2;375.3530678427259;315.4735103638013;339.1041725140494;360.4562949893392
1.21;376.6795475022902;322.17715929706424;343.9020225475858;363.14019395835356
1.22;377.9301469022377;329.0413473636448;348.73161376988486;365.80379586516125
1.23;379.10997624331884;336.04242344506827;353.58591885464904;368.4455359816336
1.24;380.2246831245471;343.15572488769834;358.458284801003;371.06407218143977
1.25;381.28041833573536;350.3558958318477;363.3424530848234;373.6583239505576
1.26;382.28378544677327;357.617235512005;368.23257068855463;376.22750478097134
1.27;383.24177590604256;364.9140625128014;373.12319303493274;378.77114655176774
1.28;384.1616922392146;372.2210796583198;378.00928042192055;381.28911492944815
1.29;385.05106261990437;379.5137241980564;382.8861898113951;383.7816153263056
1.3;385.9175504976477;386.76848921225667;387.7496637543611;386.24918948936346
1.31;386.7688630846184;393.963204505214;392.5958178899594;388.69270329810973
1.32;387.6126623275831;401.0772683712243;397.42112792688476;391.11332677941976
1.33;388.4564815676875;408.09182511952463;402.22241641751907;393.51250766843646
1.34;389.3076504843331;414.9898867449709;406.9968390772651;395.8919400375194
1.35;390.1732302089578;421.7564002989754;411.7418699708061;398.2535295814019
1.36;391.0599597573305;428.3782651120514;416.4552846339258;400.5993570991994
1.37;391.97421423141657;434.844305914544;421.1351401343569;402.9316415760419
1.38;392.9219746337966;441.1452090650686;425.77975116198473;405.2527040652637
1.39;393.90880865481057;447.27342956237993;430.38766130670535;407.56493332321145
1.4;394.93986147011657;453.22307632612967;434.95760824107373;409.8707538410414
1.41;396.0198554007799;458.9897825478988;439.48848125035204;412.17259662767174
1.42;397.1530971428303;464.5705669678648;443.97927127465425;414.47287296785333
1.43;398.34349116645876;469.96369088580605;448.42901604664956;416.7739513205646
1.44;399.594557867055;475.16851503659547;452.83674308087166;419.0781373943969
1.45;400.909455079573;480.18536020055365;457.20141182785227;421.3876572758392
1.46;402.2910016734289;485.01537475415313;461.521855429751;423.7046433534037
1.47;403.7417022008915;489.66041126334716;465.7967227379214;426.03112277021614
1.48;405.2637718569375;494.122913321557;470.02442184958704;428.36900822158026
1.49;406.859161170182;498.4058131547569;474.20306661894745;430.72009091608413
1.5;408.52957992465866;502.512439927879;478.3304274122194;433.0860354453294
1.51;410.2765198988146;506.44643825415505;482.40388716659294;435.4683762664453
1.52;412.10127610433574;510.21169612925354;486.4204036744917;437.8685155035988
1.53;414.00496629323465;513.8122813444504;490.3764789046589;440.2877217936331
1.54;415.9885485708353;517.2523853522708;494.26813607400635;442.72712992592557
1.55;418.0528370044561;520.5362735464811;498.09090509590555;445.1877410536005
1.56;420.1985151541328;523.6682409617662;501.8398169522514;447.6704232806439
1.57;422.4261474746518;526.6525724847703;505.50940746993257;450.1759124565143
