t;G1;G2;G3;COI
0.01;50.01120255226126;50.05938069617425;50.07697593438173;50.026522310240864
0.02;50.0224685929516;50.11875684528675;50.153711200708294;50.05306723332353
0.03;50.03387170667843;50.17812091247996;50.229823052767976;50.07965108546388
0.04;50.04543193386159;50.23746697396321;50.305032029861664;50.106261602412594
0.05;50.05716903532227;50.29678920883729;50.379068197707234;50.13288720746372
0.06;50.06910252204359;50.35608189768324;50.45167152811981;50.159517067047624
0.07;50.081251645566695;50.415339421169556;50.52259251210791;50.186141139428955
0.08;50.093635097349534;50.47455625867793;50.59160187795215;50.21275084446347
0.09;50.10627053410305;50.53372698694783;50.658502859016274;50.23933984109837
0.1;50.11917449362464;50.592846278739636;50.723126286798205;50.2659035200146
0.11;50.13236243504442;50.65190890151558;50.78532179430414;50.29243823101378
0.12;50.14584855393327;50.71090971613882;50.8449576558686;50.318941135928455
0.13;50.159645538198546;50.76984367558971;50.90192236663007;50.345410177620096
0.14;50.17376432097122;50.82870582369969;50.95612610333219;50.3718440360202
0.15;50.188213839496655;50.88749129390205;51.007502002158354;50.39824207180546
0.16;50.20300080912234;50.946195307999595;51.056007194148314;50.42460425879685
0.17;50.21812952108954;51.00481317494885;51.10162354681256;50.450931106630414
0.18;50.23360167198657;51.06334028966069;51.144358071867465;50.47722357567056
0.19;50.249416231507304;51.121772131817025;51.18424297310258;50.503482986550694
0.2;50.265569354544596;51.180104264703516;51.2213353273408;50.52971092801308
0.21;50.28205476318307;51.238332334057844;51.25571784900097;50.555909599549494
0.22;50.298864435508925;51.296452066933526;51.28750080841883;50.582082478582336
0.23;50.3159884220632;51.354459270578964;51.31682104543624;50.60823409912383
0.24;50.333414113118;51.41234983133154;51.34383797695477;50.63436916385069
0.25;50.351126055285434;51.470119713526465;51.3687303655401;50.66049211842035
0.26;50.36910615022412;51.52776495842036;51.391694007436406;50.68660708283122
0.27;50.38733388097921;51.58528168312924;51.41293934838886;50.712717795976594
0.28;50.405786555572654;51.642666079580636;51.43268910472776;50.738827573019186
0.29;50.42443955805312;51.69991441347985;51.45117596516335;50.76493927545502
0.3;50.443266597473254;51.75702302328996;51.46864044134135;50.79105529324542
0.31;50.46223994587091;51.81398831922552;51.485328925774084;50.81717753797312
0.31;50.48642776744386;51.796378598577284;51.414513582599774;50.82461910247784
0.32;50.5108205484574;51.77784765878766;51.34529847924944;50.83217462040287
0.33;50.535581246326146;51.757451729013816;51.279541036088816;50.83994705741197
0.34;50.5606306025971;51.735149731734595;51.21770644538274;50.84791413401207
0.35;50.58589865580991;51.71090950567346;51.16016354587364;50.85605317194361
0.36;50.61132430417433;51.68470933232319;51.1071887358107;50.8643414333537
0.37;50.63685479251605;51.65653901716919;51.05896982401551;50.87275631392584
0.38;50.662445161140056;51.626400456182445;51.0156099338136;50.88127541390916
0.39;50.688057682705676;51.594307647706636;50.97713159476815;50.889876510279485
0.4;50.713661304087985;51.560286148234724;50.94348114458012;50.898537453026584
0.41;50.7392311028375;51.52437201063235;50.914533522826034;50.9072360073474
0.42;50.76474776205393;51.48661028047607;50.89009748133697;50.91594966138657
0.43;50.790197063053135;51.44705315655169;50.8699211752037;50.92465541633494
0.44;50.81556939191686;51.40575794253716;50.853698044448706;50.93332957249449
0.45;50.840859253716545;51.362784927220225;50.84107285802424;50.94194752177674
0.46;50.86606478690948;51.31819533061041;50.8316477757292;50.95048355471684
0.47;50.891187270260964;51.272049444596746;50.82498829413786;50.958910689250935
0.48;50.91623061430073;51.224405079307;50.82062896951825;50.96720052731874
0.49;50.941200825061486;51.17531639679519;50.818078824526495;50.97532313784471
0.5;50.96610542143046;51.12483317687895;50.81682635837883;50.9832469541108
0.51;50.990952786524666;51.073000530062295;50.816344145312364;50.99093867301762
0.52;51.01575143673344;51.01985905863696;50.816093102918636;50.99836315217671
0.53;51.04050919235834;50.96544546898946;50.8155265779887;51.00548330737155
0.54;51.065232231812985;50.90979363822237;50.814094437290834;51.01226001515665
0.55;51.089924011002616;50.852936118007094;50.811247395268985;51.01865202526798
0.56;51.11458403087882;50.794906033799535;50.80644185421882;51.024615887669924
0.57;51.13920643817561;50.735739332462245;50.799145554653435;51.03010590153515
0.58;51.1637784476521;50.67547734308094;50.78884433057437;51.035074097828826
0.59;51.18827858025617;50.61416963064585;50.7750502411105;51.0394702722884
0.6;51.21267472156865;50.55187713449419;50.75731130665305;51.04324209112471
0.61;51.236922019554996;50.488675591660005;50.73522301068424;51.04633529776289
0.62;51.26096066089949;50.424659247401195;50.70844163418444;51.0486940552474
0.63;51.28471359171341;50.359944847638396;50.676699364997255;51.050261465102345
0.64;51.308084281101074;50.29467588740167;50.63982097242733;51.05098030897447
0.65;51.3309546594663;50.22902706179669;50.597741728726575;51.05079406804083
