t;G1;G2;G3;COI
0.35;2.5346850788615476;-2.52201997057036;-5.5258854786018325;0.821364967081452
0.36;2.547806835306685;-2.718524425213784;-5.059686092906186;0.8351570991116822
0.37;2.5560428482862085;-2.9154438070371187;-4.578940099855084;0.8466990277728562
0.38;2.56014450948143;-3.111568473127588;-4.0919114623679995;0.8560098176822343
0.39;2.5608071473964578;-3.3057153973860633;-3.6064394616740683;0.8631019558713141
0.4;2.558671006591245;-3.496781853714388;-3.129903597105971;0.8679748533957382
0.41;2.554322898297206;-3.6837933879326172;-2.669183162157301;0.8706104179992752
0.42;2.5482980107817332;-3.8659427040329284;-2.230617381116671;0.870970449377139
0.43;2.541081493146533;-4.042616896945713;-1.819971844413358;0.8689955553961674
0.44;2.5331095331704723;-4.213411466573188;-1.4424158589729772;0.8646052720898459
0.45;2.5247697496311594;-4.378130596337467;-1.1025134359751823;0.8576991111173263
0.46;2.516400827220982;-4.5367741311739795;-0.8042281943190248;0.8481583737097524
0.47;2.508291369562348;-4.689512565170526;-0.550940310547433;0.8358486300949168
0.48;2.5006777400260893;-4.83665239007784;-0.3454734805682588;0.8206224296888102
0.49;2.493740356486638;-4.978595121402303;-0.19013055697101305;0.8023213396029398
0.5;2.4875980731589897;-5.1157933366447095;-0.08673396070655306;0.7807767586452734
0.51;2.4823007651487905;-5.248705912099534;-0.03666277300986561;0.7558099032955561
0.52;2.4778202916838388;-5.377753053641849;-0.0408783661832501;0.7272317176965963
0.53;2.4740397539773062;-5.503271020729622;-0.09993328139010763;0.6948431489970368
0.54;2.470740932213642;-5.625467549118207;-0.21395913598567498;0.6584358948217067
0.55;2.4675899532915913;-5.744380221141649;-0.3826291536007883;0.6177936256637645
0.56;2.464121358649874;-5.859839277242457;-0.6050920307775015;0.5726938133584296
0.57;2.459720838664137;-5.971434535929659;-0.8798761822223652;0.5229105079450871
0.58;2.4536071040277085;-6.078485090819891;-1.204765677146823;0.4682185376623234
0.59;2.4448136958277167;-6.1800104293375515;-1.57665119606598;0.4083996647942452
0.6;2.4321719649414297;-6.274701949292089;-1.9913615213130935;0.3432512737244761
0.61;2.414296966541938;-6.36089435464981;-2.4434836234306068;0.2725982061345886
0.62;2.389578607920837;-6.436537201080478;-2.9261822843491077;0.19630836697288584
0.63;2.3561810100790814;-6.499167999976402;-3.4310330878554365;0.1143126863532017
0.64;2.312053387644395;-6.5458892920851435;-3.9478818135339786;0.026630146924233575
0.65;2.254954707214194;-6.573351059009618;-4.464722049659638;-0.0666000262810939
0.66;2.182496747691685;-6.577746860441629;-4.9676091474339;-0.16507898109487926
0.67;2.092216249170063;-6.554845391636371;-5.440725958953858;-0.26830872957788166
0.68;1.9816820614011115;-6.500069360546975;-5.866682396757411;-0.3755580632436324
0.69;1.8486327789922627;-6.408616754638205;-6.227008334307656;-0.4858324786855684
0.7;1.6911398566200815;-6.275625820766345;-6.502814719345545;-0.5978496625612445
0.71;1.5077915565647957;-6.096390800546553;-6.675648622373836;-0.710027566706372
0.72;1.2978871862490127;-5.866626996692398;-6.728541386410918;-0.8204922622997649
0.73;1.0616244467616545;-5.582773089151155;-6.647204790749577;-0.9271114151072616
0.74;0.8002576835806956;-5.242309084171732;-6.421290748512826;-1.0275573873485646
0.75;0.5162021103970456;-4.844059954778497;-6.045592242294967;-1.1194008614246789
0.76;0.2130600416961668;-4.388449793972878;-5.5210349937524885;-1.2002316074713792
0.77;-0.10444916080665213;-3.877671030469539;-4.855301025940757;-1.2677981496082669
0.78;-0.43066325451697157;-3.3157390991426863;-4.062945453391006;-1.32015356689834
0.79;-0.7592491538922268;-2.7084147895759947;-3.164919715073464;-1.3557916185678909
0.8;-1.0835514151324324;-2.062992689611674;-2.187492872603867;-1.373756799206659
0.81;-1.396982710041079;-1.3879718027634944;-1.160653561261432;-1.373714312329006
0.82;-1.6934140922270382;-0.6926400765699757;-0.11615890558154317;-1.355971072196744
0.83;-1.9675224556141995;0.013384882995381974;0.9145466910219106;-1.321445750667748
0.84;-2.215085581591934;0.7206168436802323;1.902316125416446;-1.271609797633032
0.85;-2.433338095209334;1.4201585917092516;2.822084896261498;-1.2084908334657019
0.86;-2.621138787549524;2.104110483854525;3.65424703395831;-1.1345879052587537
0.87;-2.778544696263549;2.765638688006786;4.385122351554212;-1.0525110662108252
0.88;-2.9063861386063623;3.3987943248277444;5.006619382541895;-0.9647431254553132
0.89;-3.0062610427776777;3.998774949817726;5.51573129783946;-0.8736308673508822
0.9;-3.0804451456152266;4.562400374828353;5.913971354477349;-0.7812800927823098
0.91;-3.1316608476554793;5.087988054925314;6.2066128966687675;-0.6894836329223601
0.92;-3.162898829393865;5.574877248181659;6.40178350507305;-0.5997683990393904
0.93;-3.1772573047590105;6.023136517766076;6.509537481960267;-0.5134215174006609
0.94;-3.177799982178812;6.43339795008305;6.541007293046194;-0.43149811637199975
0.95;-3.167445235695607;6.806698093703283;6.507670697042649;-0.3548395998198114
0.96;-3.1488852394513573;7.144331876455461;6.420755679382845;-0.284098289148815
0.97;-3.124531748542833;7.4477228125573385;6.290788371613582;-0.21976494815767447
0.98;-3.096484126335139;7.718310392653642;6.127277154285332;-0.16219649014246315
0.99;-3.066514879052204;7.957453885668279;5.938518652082786;-0.11164192828339016
1.0;-3.0360681329351964;8.166350835428908;5.731507469863212;-0.06826528991012987
1.01;-3.006266982648495;8.345968210521441;5.5119303182969706;-0.03216474022345037
1.02;-2.9779263063517165;8.496984346055562;5.28422572828688;-0.003387552958145076
1.03;-2.9515683809073296;8.619740377737621;5.051692125626768;0.018059158578154193
1.04;-2.9274393665737337;8.71420067488841;4.816629170241877;0.032201860692992995
1.05;-2.9055254181354657;8.779922701326363;4.580499667374123;0.039097984948810414
1.06;-2.8855678072215314;8.81603769878793;4.344101702566402;0.03883704793494754
1.07;-2.8670770128528007;8.82124456034034;4.107742599589411;0.031545229261809
1.08;-2.84934624633095;8.7938201674774;3.871407716754046;0.017393072194593615
1.09;-2.831465310974221;8.731650180454757;3.634918069941048;-0.003394112133037194
1.1;-2.8123360623283107;8.632284661494431;3.3980714516932378;-0.030523679584959468
1.11;-2.7906910384473322;8.493022837047086;3.1607622069248693;-0.06362165654927304
1.12;-2.7651170692593325;8.311030663166449;2.9230748811709915;-0.10221833224548608
1.13;-2.7340865298601638;8.08349536149792;2.6853367610208343;-0.145735903226553
1.14;-2.6960012927428756;7.80782487076052;2.448075665603253;-0.1934851326506502
1.15;-2.649244229288781;7.481870991834321;2.2119507002155796;-0.24466528366069418
1.16;-2.5922268740409016;7.104137773317725;1.9778248544543668;-0.2983512478419212
1.17;-2.5234450431476296;6.6739962064310925;1.7468473297366656;-0.3534842552603831
1.18;-2.441553431340535;6.191921918044224;1.520365371934672;-0.40888723364282914
1.19;-2.3454453992393076;5.6597071757010955;1.2997869506271786;-0.4632933310784178
1.2;-2.2343273870550444;5.080609178954627;1.0864823032381556;-0.5153793934017155
1.21;-2.1077849893536875;4.45942036993436;0.8816996878511666;-0.5638072835189684
1.22;-1.9658349685091263;3.802444856748007;0.6864961795869812;-0.6072719537606014
1.23;-1.8089572181363407;3.117371144626799;0.5016905997162975;-0.6445532407255422
1.24;-1.6381019455558017;2.4130417088695544;0.32784270740187055;-0.6745675191194062
1.25;-1.4546694486202925;1.6991315557756776;0.1652588864125447;-0.6964149640037214
1.26;-1.260462549127438;0.9857589066442065;0.014020629078714807;-0.709418322703214
1.27;-1.0576146138131284;0.2830595756087459;-0.12597109417562524;-0.7131498087787229
1.28;-0.8484986800635134;-0.39923904949397093;-0.254944375366861;-0.7074439117488389
1.29;-0.6356250818445369;-1.052209042677176;-0.37320684746049404;-0.6923953833215528
1.3;-0.4215358547966726;-1.6680478123035398;-0.4811057602154274;-0.6683431753216945
1.31;-0.20870400016654836;-2.2403174151946796;-0.5790027409119597;-0.635842428784627
1.32;0.00055547610315898;-2.764086603053781;-0.6672651747532393;-0.5956275637057468
1.33;0.20415768170032303;-3.2359756348355946;-0.7462730802295419;-0.5485699981555565
1.34;0.400300221641103;-3.65411309560599;-0.8164379501419453;-0.4956340333496452
1.35;0.5874951041111126;-4.018020581345635;-0.8782286228104389;-0.4378340579147984
1.36;0.7645812698150671;-4.328444738428768;-0.9321989635754583;-0.376195582084193
1.37;0.9307202303876589;-4.587156999109657;-0.9790131334224228;-0.3117218783518925
1.38;1.085378295389472;-4.7967403670352615;-1.0194689696437214;-0.24536753539017547
1.39;1.2282998414434576;-4.960381487824956;-1.054533620897046;-0.17802055882825113
1.4;1.3594754265934472;-5.081681721678772;-1.0853868080552322;-0.11049253332338073
1.41;1.4791058718646597;-5.1644944945380145;-1.113416249339493;-0.04351240135136432
1.42;1.5875633771663886;-5.212791722905048;-1.1401458974123801;0.02227812582162867
1.43;1.685352137994654;-5.230549087550425;-1.167159382587356;0.08632558669567905
1.44;1.7730697756014975;-5.22163852309347;-1.1960635344877335;0.14816132249961797
1.45;1.8513717038349127;-5.18973917662819;-1.2284762522750003;0.20739433672858335
1.46;1.9209426001829382;-5.138279011262976;-1.2660081591192796;0.26370386799783296
1.47;1.982475793985115;-5.070401416227095;-1.3102276806876023;0.31683429310369576
1.48;2.036657144402197;-4.988950694720979;-1.3626206195919355;0.3665900872150015
1.49;2.08415114533622;-4.896473891050586;-1.4245548913432757;0.4128287428162732
1.5;2.125589435538087;-4.795234634610419;-1.4972510805133497;0.4554525519601778
1.51;2.161561982364544;-4.687234754932841;-1.5817568465205754;0.4944004454916491
1.52;2.1926106493840063;-4.574240552823023;-1.6789243814326211;0.5296403577986548
1.53;2.2192246861589364;-4.457811316016343;-1.7893905783250104;0.5611622849485793
