t;B1;B2;B3;B4;B5;B6;B7;B8;B9
0.01;0.8005455143628135;0.4036750535136072;0.6957212675951739;0.6219467895162921;0.38804971421442186;0.5734100498063038;5.920783946685119e-9;0.2191846823650368;0.5369995485726817
0.02;0.7988520202407575;0.4018756086553027;0.6933722587604715;0.6205083916169682;0.387152258204048;0.5718482236471818;5.897038682679761e-9;0.21848599440388944;0.5352877723747091
0.03;0.7974891572194903;0.4006454311888522;0.6914901075345494;0.6193229081022632;0.38641260244025777;0.5705242183511854;5.879637577841455e-9;0.21792346308321442;0.5339095781345242
0.04;0.7964442512082756;0.3999655567712741;0.6900464749705164;0.618372843610209;0.3858198310852619;0.5694107779257892;5.867565472065229e-9;0.21748600673495921;0.5328378159129615
0.05;0.7957029493746847;0.39969466355901123;0.689009628363233;0.6176379455380221;0.38536130798275303;0.5684760693978741;5.8594940994977815e-9;0.21716096445076752;0.532041466653554
0.06;0.7952493960943643;0.3996285491454366;0.6883449255312277;0.6170955373626167;0.3850228846257714;0.5676842570967404;5.853574831168265e-9;0.21693430751560341;0.5314861601918649
0.07;0.7950664279445455;0.3996880293103496;0.688015258212809;0.6167208783245515;0.3847891245736584;0.5669961059542884;5.848925256614757e-9;0.2167908471100293;0.5311346841225388
0.08;0.7951266355021109;0.39985924615433893;0.6878578921535327;0.6164704046977855;0.38463284721905705;0.5663321669268524;5.8448901958023505e-9;0.21668088044290199;0.5308652672691325
0.09;0.7954003871611414;0.4001297558441302;0.6876846029289923;0.616296824296568;0.3845245456659937;0.5656049857420063;5.840757051333496e-9;0.21654767878884615;0.5305389250099297
0.1;0.7958672401507455;0.4004883933155129;0.6874325509572534;0.616170400109092;0.38444566617453213;0.5647652805916556;5.836082900889171e-9;0.21636852834335812;0.5301000088260834
0.11;0.7965087100503658;0.40092515160052344;0.6870652832415225;0.6160652377814728;0.38438005254472624;0.563771864719851;5.830479574088401e-9;0.21612783607913788;0.5295103160079792
0.12;0.7973066979707016;0.40143107032277553;0.6865479190285403;0.6159562423319735;0.38431204732688584;0.5625846605832522;5.8235602384147914e-9;0.21581047936218076;0.5287327963032756
0.13;0.798243805645187;0.4019981331379038;0.6858476937589536;0.6158196178487847;0.3842268035967677;0.5611654363905377;5.8149411236270565e-9;0.21540204830248602;0.5277321456729127
0.14;0.7993036386646771;0.4026191737824006;0.6849344726160317;0.6156333432759022;0.3841105818114723;0.5594785018977905;5.804243142419089e-9;0.21488907487253356;0.5264753676283304
0.15;0.8004710865394146;0.4032877903139666;0.6837812121831889;0.6153776079129692;0.3839510215297753;0.5574913414535054;5.791093335091834e-9;0.21425924054288703;0.5249322819359337
0.16;0.8017325688538335;0.4039982670741205;0.6823643550348129;0.6150351916575035;0.3837373786557122;0.5551751652380652;5.77512609138525e-9;0.2135015560299581;0.5230759649967246
0.17;0.8030762374286184;0.40474550387375013;0.6806641441040248;0.6145917764298094;0.38346071974514606;0.5525053619675072;5.75598412134666e-9;0.21260650754077842;0.5208831081440516
0.18;0.8044921247882738;0.40552495188978044;0.6786648464180813;0.6140361768022867;0.38311406590173613;0.5494618391371865;5.733319168472468e-9;0.21156616496080213;0.5183342827022905
0.19;0.8059722246404227;0.40633255576210053;0.6763548785475607;0.6133604761601655;0.38269247773136433;0.546029237586157;5.706792473164053e-9;0.21037424837034885;0.515414102951252
0.2;0.8075103899788786;0.4071647013909208;0.6737268176720623;0.612559984913512;0.38219302926945214;0.5421969587851032;5.676074841151868e-9;0.20902614353661753;0.5121112640814176
0.21;0.8090535663466077;0.40801816895306525;0.6707715081833544;0.6115983537061295;0.3815930411521401;0.5379339757695107;5.640763165618645e-9;0.2075154331695355;0.5084100438170457
0.22;0.8105137117938999;0.40889009067888493;0.6674805167562261;0.6104160715058846;0.3808553828086458;0.5331952625005147;5.600412794409534e-9;0.20583512977840146;0.5042933228985202
0.23;0.8118551823098533;0.40977791295799887;0.6638566227352456;0.608992858318593;0.379967400992089;0.5279668087280469;5.554692374546022e-9;0.20398390080423814;0.49975783657359335
0.24;0.8130827877630792;0.41067936237051855;0.6599111199767694;0.6073389444696072;0.37893547868334154;0.5222588546721189;5.503356303918551e-9;0.20196475837029676;0.4948109645036034
0.25;0.8142029049946474;0.4115924152692552;0.6556585874685864;0.605467071157551;0.3777675654661438;0.5160853836593698;5.446178042263403e-9;0.19978208248213228;0.4894634376433711
0.26;0.8152231325027856;0.41251527056729725;0.6511163941280075;0.6033920290652705;0.37647288965378467;0.5094635126389621;5.382951922772157e-9;0.19744141682476013;0.4837288379469646
0.27;0.8161520185512193;0.4134463254136533;0.646304190041249;0.6011302353289111;0.37506169434847136;0.5024128873448267;5.313495930739407e-9;0.1949492568686629;0.4776230792302515
0.28;0.8169987859826044;0.4143841534667766;0.6412433941677622;0.5986993030576425;0.37354496885284527;0.49495506004393913;5.23765551898419e-9;0.19231283235625557;0.47116387426564454
0.29;0.8177730640053623;0.41532748550155496;0.6359566979467309;0.5961176194884383;0.3719341854691482;0.48711287237945916;5.155308696823156e-9;0.1895398921830617;0.46437020774385956
0.3;0.8184846362456496;0.41627519210957536;0.6304676026332954;0.5934039475926591;0.37024105093061493;0.47890986465525764;5.066372651636352e-9;0.18663849923242598;0.45726183362170103
0.31;0.8191432129767209;0.41722626827514847;0.6248000062106202;0.5905770642119329;0.368477280624397;0.47036973141863386;4.970456917974644e-9;0.18361684215408525;0.44985881398212485
0.31;0.9315757045758202;1.0826965955665029;0.9714427562808788;0.8053683195051885;0.7354937740560915;0.7209607470025975;1.025523851557452;0.9539306149516124;0.912586742449416
0.32;0.9298335691684324;1.0810419066026196;0.9657839707945275;0.7974523239841468;0.7282645780718751;0.7057565401087524;1.02118531972124;0.9470175704872404;0.9030585115026113
0.33;0.9284081710858584;1.0794029022984721;0.9606812641402797;0.7901365825374533;0.7215835575296802;0.6913480875889987;1.0169412091394638;0.9403354658020058;0.8940890452874919
0.34;0.9273308393665098;1.07778100532468;0.9561033909728338;0.7834750743833037;0.7155000083577794;0.6778190453626143;1.0127921074928385;0.9338846466191065;0.8856806523417514
0.35;0.9266243306203323;1.0761774587883417;0.9520127844288049;0.7775080070602792;0.7100506496492639;0.6652366795277034;1.0087372222710291;0.9276618015368366;0.8778262737651175
0.36;0.9263040618167214;1.0745951597765557;0.9483700997849703;0.7722635188190627;0.7052611783525845;0.6536539818269049;1.0047771060896005;0.9216635397233731;0.8705139918937386
0.37;0.9263791867486775;1.0730401857188723;0.9451381245492088;0.7677592509284539;0.7011477051627538;0.6431116302873126;1.0009160040056433;0.9158895398803815;0.863731066892478
0.38;0.9268536090465984;1.07152297471035;0.9422849657147445;0.7640038669394815;0.697718141972615;0.6336398354887754;0.9971637459997781;0.9103451634572485;0.8574673788714965
0.39;0.92772693818537;1.0700591212886927;0.9397864580958087;0.7609985267839067;0.694973548077111;0.625260073605027;0.9935371175815505;0.9050434424996386;0.8517181771851196
0.4;0.9289953914469404;1.0686697721505987;0.9376277829503192;0.7587383207785546;0.6929094397619964;0.6179867127761625;0.9900606741750435;0.9000063923774514;0.8464860848080996
0.41;0.9306526452909523;1.0673816330677321;0.9358043286095491;0.7572136674578427;0.691517066859041;0.6118285446377364;0.9867670015654044;0.8952656428527631;0.8417823531530937
0.42;0.9326906381795508;1.0662266233564746;0.9343218611956049;0.7564116754614768;0.6907846564750167;0.606790234539946;0.9836964594368046;0.8908624218413247;0.8376274061316613
0.43;0.9351003234061601;1.0652412346342803;0.9331961016963415;0.7563174639283865;0.6906986188269567;0.6028737019771099;0.9808964743126142;0.8868469611133355;0.8340507483312385
0.44;0.9378723637044543;1.0644656644888701;0.9324518245637003;0.7569154275468164;0.6912447025352624;0.6000794365442673;0.9784204697246812;0.8832774196634346;0.8310903387069968
0.45;0.9409977442656069;1.0639428026212627;0.9321216025013576;0.7581904178139492;0.6924090733960809;0.5984077422509226;0.9763265343741899;0.8802184376371788;0.8287915472579221
0.46;0.9444682437072296;1.0637171481488197;0.932244323267653;0.7601287803861151;0.6941792617299941;0.5978598784435957;0.974675934480381;0.8777394424707139;0.8272058181946307
0.47;0.9482766478819596;1.0638337335753147;0.93286359827352;0.7627191431557185;0.6965448820846172;0.5984390315182463;0.9735315757766583;0.8759128304109809;0.826389160200721
0.48;0.952416715820094;1.0643371155739019;0.9340261642042228;0.7659529490777274;0.6994981198325392;0.6001510994514045;0.9729565029355506;0.8748121300936744;0.8264005702916242
0.49;0.9568833058315815;1.0652704655907772;0.9357803474035948;0.7698250477129299;0.7030342713917067;0.6030054456320774;0.97301248679259;0.8745102160950745;0.8273004727136687
0.5;0.9616729211620441;1.0666748098100278;0.9381746518438226;0.7743345375443897;0.7071525134616777;0.6070157022887417;0.9737587580847088;0.875077641219827;0.829149242081177
0.51;0.9667843450326896;1.0685884884004297;0.941256535488069;0.7794855752866038;0.711856642116321;0.6122004280054623;0.975250971018502;0.8765811785885815;0.832005874578602
0.52;0.9722190554328736;1.071046781878226;0.9450713969660021;0.7852878875285906;0.7171555400562508;0.6185834325670744;0.9775403776912708;0.8790825883565828;0.8359268234506986
0.53;0.9779813982278027;1.074081525651818;0.9496617448866924;0.7917569537330501;0.7230633437307981;0.6261937160357101;0.9806730806250776;0.8826375332059772;0.8409649632418253
