ID;BUS;P_MW;Q_MVAr;S_MVA;Loading_P;Loading_Q
1;1;193.372;12.351;193.766;0.764;0.041
2;2;152.03;66.141;165.795;0.49;0.22
3;3;135.292;48.142;143.602;0.482;0.16
